technical_rank,speaker,technical_score,snr_proxy_db,noise_floor_proxy_dbfs,rms_dbfs,peak_dbfs,crest_db,clipped_pct,silence_pct,internal_silence_gt_700ms,duration_s,technical_band,editorial_status,sample_url
1,8,100.0,66.4,-84.03,-15.89,0.0,15.89,0.0016,22.01,0,76.53,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_8.mp3
2,55,100.0,59.78,-78.19,-16.13,0.0,16.13,0.0022,25.57,0,76.67,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_55.mp3
3,80,100.0,53.87,-74.75,-18.33,0.0,18.33,0.0012,22.2,0,81.8,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_80.mp3
4,49,100.0,49.86,-68.88,-16.12,0.0,16.12,0.0037,19.51,0,55.18,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_49.mp3
5,4,100.0,48.55,-66.9,-15.42,0.0,15.42,0.0025,18.42,0,72.77,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_4.mp3
6,121,100.0,46.04,-66.13,-16.27,0.0,16.27,0.002,20.97,0,74.8,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_121.mp3
7,36,100.0,44.45,-63.26,-16.73,0.0,16.73,0.0016,16.59,0,57.5,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_36.mp3
8,24,100.0,43.97,-59.6,-14.65,0.0,14.65,0.002,20.72,0,86.51,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_24.mp3
9,10,100.0,43.86,-62.6,-16.36,0.0,16.36,0.0015,19.61,0,85.19,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_10.mp3
10,100,100.0,42.88,-62.48,-16.67,0.0,16.68,0.002,23.13,0,82.17,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_100.mp3
